"LocalUserId","DateCreated","LastLogin"
"liuhuac","2013-02-08","2016-10-27"
"liuweij","2012-04-09","2012-04-09"
"ll","2009-01-29",NULL
"llayne","2011-02-11",NULL
"lli5","2011-09-29","2016-12-12"
"lmark","2008-02-28","2013-03-18"
"lmcgee","2008-06-30",NULL
"lncox","2011-03-04",NULL
"lneild","2011-02-28","2015-04-06"
"lngo","2012-02-03","2016-12-13"
"lonny","2008-03-04",NULL
"lorenk","2011-01-26",NULL
"lplough","2013-02-13","2013-08-14"
"lrhym","2012-04-23","2015-05-13"
"lshulle","2011-04-15","2016-12-08"
"lsoncha","2012-10-31","2014-06-14"
